"DateTime","Depth","Observed_temp","Modeled_temp","ShortWave","LongWave","AirTemp","RelHum","WindSpeed","Rain","Snow","paramSearchTraining"
1981-06-17,0,16.5,19.7679668488992,160.291625,419.41625,24.95583875,80.9526345421601,5.33913926985004,0.0359142,0,FALSE
1981-06-17,0.99998784,16.5,19.7679668488992,160.291625,419.41625,24.95583875,80.9526345421601,5.33913926985004,0.0359142,0,FALSE
1981-06-18,0,17.5,20.2740593943663,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,0.99998784,17.5,20.2740588966316,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,1.99997568,17.5,20.2740458714928,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,2.99996352,17.5,20.2735085176991,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,3.99995136,17.5,20.0799413952263,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,4.9999392,17.5,19.829448920802,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,5.99992704,17.5,19.7760491132689,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,6.99991488,17.5,19.7670734628896,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,7.99990272,17.5,19.7625013081652,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-18,8.99989056,17.5,19.7598088335477,264.899291666667,366.88125,18.7858416666667,76.6493364776555,5.71424766383468,0.0041938,0,FALSE
1981-06-22,0,17.5,19.3752832872031,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,0.99998784,17.5,19.3752832872031,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,1.99997568,17,19.3752832872031,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,2.99996352,17,19.3752823676749,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,3.99995136,17,19.375178621793,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,4.9999392,17,19.3722072239913,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,5.99992704,17,19.3327603864853,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,6.99991488,17,19.3096422268564,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,7.99990272,17,19.2921720118903,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,8.99989056,17,19.290682006162,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,9.9998784,17,19.2896712737201,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-06-22,10.99986624,17,19.263524807294,218.010333333333,376.562083333333,18.9908375,75.9254996474195,3.97341488513798,0.0142943,0,FALSE
1981-08-12,0,21.5,24.141639619725,229.895125,381.7275,22.0983408333334,68.5078349855825,3.90633160728884,0.0001326,0,FALSE
1981-08-12,0.99998784,21,24.1416396195848,229.895125,381.7275,22.0983408333334,68.5078349855825,3.90633160728884,0.0001326,0,FALSE
1981-08-12,1.99997568,21,24.1416380801295,229.895125,381.7275,22.0983408333334,68.5078349855825,3.90633160728884,0.0001326,0,FALSE
1981-08-12,2.99996352,21,24.1415704688354,229.895125,381.7275,22.0983408333334,68.5078349855825,3.90633160728884,0.0001326,0,FALSE
1981-08-12,3.99995136,21,24.1390332380804,229.895125,381.7275,22.0983408333334,68.5078349855825,3.90633160728884,0.0001326,0,FALSE
1981-08-12,4.9999392,21,24.093478514134,229.895125,381.7275,22.0983408333334,68.5078349855825,3.90633160728884,0.0001326,0,FALSE
1981-08-12,5.99992704,21,24.0399175118057,229.895125,381.7275,22.0983408333334,68.5078349855825,3.90633160728884,0.0001326,0,FALSE
1981-08-19,0,22,24.2216774242836,249.315041666667,304.280416666667,14.49125875,70.4278812909536,3.20663815577282,0,0,FALSE
1981-08-19,0.99998784,22,24.2216696654329,249.315041666667,304.280416666667,14.49125875,70.4278812909536,3.20663815577282,0,0,FALSE
1981-08-19,1.99997568,22,24.2214023502135,249.315041666667,304.280416666667,14.49125875,70.4278812909536,3.20663815577282,0,0,FALSE
1981-08-19,2.99996352,21,24.2045446108444,249.315041666667,304.280416666667,14.49125875,70.4278812909536,3.20663815577282,0,0,FALSE
1981-08-19,3.99995136,21,24.1383520893114,249.315041666667,304.280416666667,14.49125875,70.4278812909536,3.20663815577282,0,0,FALSE
1981-08-19,4.9999392,21,24.1260796473143,249.315041666667,304.280416666667,14.49125875,70.4278812909536,3.20663815577282,0,0,FALSE
1981-08-19,5.99992704,21,24.1218430845099,249.315041666667,304.280416666667,14.49125875,70.4278812909536,3.20663815577282,0,0,FALSE
