DateTime	Depth	temp	Kd	ShortWave	LongWave	AirTemp	RelHum	WindSpeed	Rain	Snow
1981-06-17	0	16.5	0.4916439599	239.020374953747	332.782913208008	18.5412600199382	63.5621884789661	8.87806288080545	0.000414799988269806	0
1981-06-17	0.99998784	16.5	0.4916439599	239.020374953747	332.782913208008	18.5412600199382	63.5621884789661	8.87806288080545	0.000414799988269806	0
1981-06-18	0	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	0.99998784	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	1.99997568	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	2.99996352	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	3.99995136	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	4.9999392	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	5.99992704	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	6.99991488	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	7.99990272	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-18	8.99989056	17.5	0.4937745033	223.211333195368	318.534586588542	14.3850036621094	66.1652683579135	7.65035113064304	0.0028287999778986	0
1981-06-22	0	17.5	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	0.99998784	17.5	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	1.99997568	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	2.99996352	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	3.99995136	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	4.9999392	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	5.99992704	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	6.99991488	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	7.99990272	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	8.99989056	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	9.9998784	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-06-22	10.99986624	17	0.5029761311	186.557956675688	345.726249694824	14.5808425903321	81.8598145278326	2.65651966922657	0.00850480011291802	0
1981-08-12	0	21.5	0.68272549	257.730541706085	360.676247914632	24.8287508646647	59.5144981927359	3.59674909699699	0	0
1981-08-12	0.99998784	21	0.68272549	257.730541706085	360.676247914632	24.8287508646647	59.5144981927359	3.59674909699699	0	0
1981-08-12	1.99997568	21	0.68272549	257.730541706085	360.676247914632	24.8287508646647	59.5144981927359	3.59674909699699	0	0
1981-08-12	2.99996352	21	0.68272549	257.730541706085	360.676247914632	24.8287508646647	59.5144981927359	3.59674909699699	0	0
1981-08-12	3.99995136	21	0.68272549	257.730541706085	360.676247914632	24.8287508646647	59.5144981927359	3.59674909699699	0	0
1981-08-12	4.9999392	21	0.68272549	257.730541706085	360.676247914632	24.8287508646647	59.5144981927359	3.59674909699699	0	0
1981-08-12	5.99992704	21	0.68272549	257.730541706085	360.676247914632	24.8287508646647	59.5144981927359	3.59674909699699	0	0
1981-08-19	0	22	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	0.99998784	22	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	1.99997568	22	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	2.99996352	21	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	3.99995136	21	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	4.9999392	21	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	5.99992704	21	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	6.99991488	21	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
1981-08-19	7.99990272	21	0.7040870791	227.533209164937	359.948748270671	18.8933349609375	63.9443510323307	3.63302235012685	0	0
