"cd","kw","coef_mix_shear"
0.0011199976,0.3660008,0.16
0.00114799754,0.3660008,0.16
0.00117599748,0.3660008,0.16
0.00120399742,0.3660008,0.16
0.00123199736,0.3660008,0.16
0.0012599973,0.3660008,0.16
0.00128799724,0.3660008,0.16
0.00131599718,0.3660008,0.16
0.00134399712,0.3660008,0.16
0.00137199706,0.3660008,0.16
0.001399997,0.3660008,0.16
0.00142799694,0.3660008,0.16
0.00145599688,0.3660008,0.16
0.00148399682,0.3660008,0.16
0.00151199676,0.3660008,0.16
0.0015399967,0.3660008,0.16
0.00156799664,0.3660008,0.16
0.00159599658,0.3660008,0.16
0.00162399652,0.3660008,0.16
0.00165199646,0.3660008,0.16
0.0016799964,0.3660008,0.16
0.0011199976,0.37515082,0.16
0.00114799754,0.37515082,0.16
0.00117599748,0.37515082,0.16
0.00120399742,0.37515082,0.16
0.00123199736,0.37515082,0.16
0.0012599973,0.37515082,0.16
0.00128799724,0.37515082,0.16
0.00131599718,0.37515082,0.16
0.00134399712,0.37515082,0.16
0.00137199706,0.37515082,0.16
0.001399997,0.37515082,0.16
0.00142799694,0.37515082,0.16
0.00145599688,0.37515082,0.16
0.00148399682,0.37515082,0.16
0.00151199676,0.37515082,0.16
0.0015399967,0.37515082,0.16
0.00156799664,0.37515082,0.16
0.00159599658,0.37515082,0.16
0.00162399652,0.37515082,0.16
0.00165199646,0.37515082,0.16
0.0016799964,0.37515082,0.16
0.0011199976,0.38430084,0.16
0.00114799754,0.38430084,0.16
0.00117599748,0.38430084,0.16
0.00120399742,0.38430084,0.16
0.00123199736,0.38430084,0.16
0.0012599973,0.38430084,0.16
0.00128799724,0.38430084,0.16
0.00131599718,0.38430084,0.16
0.00134399712,0.38430084,0.16
0.00137199706,0.38430084,0.16
0.001399997,0.38430084,0.16
0.00142799694,0.38430084,0.16
0.00145599688,0.38430084,0.16
0.00148399682,0.38430084,0.16
0.00151199676,0.38430084,0.16
0.0015399967,0.38430084,0.16
0.00156799664,0.38430084,0.16
0.00159599658,0.38430084,0.16
0.00162399652,0.38430084,0.16
0.00165199646,0.38430084,0.16
0.0016799964,0.38430084,0.16
0.0011199976,0.39345086,0.16
0.00114799754,0.39345086,0.16
0.00117599748,0.39345086,0.16
0.00120399742,0.39345086,0.16
0.00123199736,0.39345086,0.16
0.0012599973,0.39345086,0.16
0.00128799724,0.39345086,0.16
0.00131599718,0.39345086,0.16
0.00134399712,0.39345086,0.16
0.00137199706,0.39345086,0.16
0.001399997,0.39345086,0.16
0.00142799694,0.39345086,0.16
0.00145599688,0.39345086,0.16
0.00148399682,0.39345086,0.16
0.00151199676,0.39345086,0.16
0.0015399967,0.39345086,0.16
0.00156799664,0.39345086,0.16
0.00159599658,0.39345086,0.16
0.00162399652,0.39345086,0.16
0.00165199646,0.39345086,0.16
0.0016799964,0.39345086,0.16
0.0011199976,0.40260088,0.16
0.00114799754,0.40260088,0.16
0.00117599748,0.40260088,0.16
0.00120399742,0.40260088,0.16
0.00123199736,0.40260088,0.16
0.0012599973,0.40260088,0.16
0.00128799724,0.40260088,0.16
0.00131599718,0.40260088,0.16
0.00134399712,0.40260088,0.16
0.00137199706,0.40260088,0.16
0.001399997,0.40260088,0.16
0.00142799694,0.40260088,0.16
0.00145599688,0.40260088,0.16
0.00148399682,0.40260088,0.16
0.00151199676,0.40260088,0.16
0.0015399967,0.40260088,0.16
0.00156799664,0.40260088,0.16
0.00159599658,0.40260088,0.16
0.00162399652,0.40260088,0.16
0.00165199646,0.40260088,0.16
0.0016799964,0.40260088,0.16
0.0011199976,0.4117509,0.16
0.00114799754,0.4117509,0.16
0.00117599748,0.4117509,0.16
0.00120399742,0.4117509,0.16
0.00123199736,0.4117509,0.16
0.0012599973,0.4117509,0.16
0.00128799724,0.4117509,0.16
0.00131599718,0.4117509,0.16
0.00134399712,0.4117509,0.16
0.00137199706,0.4117509,0.16
0.001399997,0.4117509,0.16
0.00142799694,0.4117509,0.16
0.00145599688,0.4117509,0.16
0.00148399682,0.4117509,0.16
0.00151199676,0.4117509,0.16
0.0015399967,0.4117509,0.16
0.00156799664,0.4117509,0.16
0.00159599658,0.4117509,0.16
0.00162399652,0.4117509,0.16
0.00165199646,0.4117509,0.16
0.0016799964,0.4117509,0.16
0.0011199976,0.42090092,0.16
0.00114799754,0.42090092,0.16
0.00117599748,0.42090092,0.16
0.00120399742,0.42090092,0.16
0.00123199736,0.42090092,0.16
0.0012599973,0.42090092,0.16
0.00128799724,0.42090092,0.16
0.00131599718,0.42090092,0.16
